거래일자,거래시간,적요,출금액,입금액,내용
2026-03-01,09:02:11,급여 입금,0,3200000,ACME PAYROLL
2026-03-02,08:14:03,카페 결제,5800,0,스타벅스 선릉역점
2026-03-02,12:21:44,식당 점심,12000,0,본죽 역삼점
2026-03-03,07:58:15,지하철 충전,2500,0,서울교통공사
2026-03-03,19:46:20,편의점 간식,4900,0,GS25 역삼점
2026-03-04,21:11:09,넷플릭스 구독,17000,0,NETFLIX
2026-03-05,10:09:52,쿠팡 주문,38900,0,쿠팡
2026-03-06,08:31:10,관리비 자동이체,95000,0,아파트 관리사무소
2026-03-07,14:22:48,보험료 출금,42000,0,삼성화재
2026-03-08,18:40:33,배달 저녁,24800,0,배달의민족
2026-03-09,08:17:54,주유 결제,70000,0,SK에너지
2026-03-09,13:02:11,쇼핑 결제,45900,0,무신사 스토어
2026-03-10,07:11:26,환급 입금,0,56000,국세환급
2026-03-10,20:16:45,카페 결제,6100,0,블루보틀 성수
2026-03-11,12:08:02,식당 저녁,18500,0,서브웨이 강남점
2026-03-12,09:45:37,통신 요금,69000,0,SK텔레콤
2026-03-13,19:12:27,택시 이용,18200,0,카카오T
2026-03-14,11:33:19,마켓 장보기,63500,0,이마트
2026-03-15,16:42:28,유튜브 구독,14900,0,YOUTUBE PREMIUM
2026-03-16,08:05:40,급여 외 수입,0,180000,프로젝트 정산
